fold,accuracy,precision,recall,roc_auc
0,0.9858299595141701,0.9858299595141701,0.9858299595141701,0.9976537744397935
0,0.7835155225185833,0.7835155225185833,0.7835155225185833,0.9871247368314195
1,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.9988994162636248
1,0.7889545392703737,0.7889545392703737,0.7889545392703737,0.9879215247315264
2,0.9932523616734144,0.9932523616734144,0.9932523616734144,0.9996305922574459
2,0.7703356024274934,0.7703356024274934,0.7703356024274934,0.9877312884819862
3,0.9932523616734144,0.9932523616734144,0.9932523616734144,0.999057774155303
3,0.7842504269082129,0.7842504269082129,0.7842504269082129,0.9891823415563341
4,0.99527665317139,0.99527665317139,0.99527665317139,0.999353526739896
4,0.7708896973464996,0.7708896973464996,0.7708896973464996,0.987657248054188
None,0.9917678812415656,0.9917678812415656,0.9917678812415656,0.9989190167712128
None,0.0032332384752256247,0.0032332384752256247,0.0032332384752256247,0.9989190167712128
None,0.7795891576942326,0.7795891576942326,0.7795891576942326,0.9879234279310909
None,0.007565223577690185,0.007565223577690185,0.007565223577690185,0.9879234279310909
